austral.300.t:0 "Prince George Killed in Crash"
austral.351.d:0 "The [From.GetAdjective] government, pursuing a revanchist policy which it calls the Anderson Doctrine, has laid a claim on the Melanesian Islands, citing that they were only lost due to Germany's assumption of control following the Weltkrieg, and that they are part of [From.GetNameDef]'s eminent domain. Whether they intend to pursue these claims remains to be seen."
austral.352.t:0 "Australasia Claims the South Pacific"
austral.352.d:0 "The [From.GetAdjective] government, pursuing a revanchist policy which it calls the Anderson Doctrine, has laid a claim on the southern Pacific Islands, citing that they were only lost due to Germany's assumption of control following the Weltkrieg, and that they are part of [From.GetNameDef]'s eminent domain. Whether they intend to pursue these claims remains to be seen."
austral.353.t:0 "Australasia Claims the [Root.GetAdjective] East Indies"
austral.353.d:0 "The [From.GetAdjective] government, pursuing a revanchist policy which it calls the Anderson Doctrine, has laid a claim on the islands north of New Guinea - all of which were once part of the Spanish East Indies and sold to Germany following Spain's lost in their war with the United States. [From.GetNameDefCap] has declared [Root.GetNameDef]'s control over the region to be contrary to its national interest. Whether they intend to pursue these claims remains to be seen."
austral.354.t:0 "[From.GetNameDefCap] Claims Singapore"
austral.354.d:0 "The [From.GetAdjective] government, pursuing a revanchist policy which it calls the Anderson Doctrine, has laid a claim on Singapore - the last bastion of the United Kingdom as it held out against Germany in the final days of the Weltkrieg. Whether [From.GetNameDef] seeks it for their own or on behalf of their allies remains to be seen."
austral.355.t:0 "[From.GetNameDefCap] Claims Northern Borneo"
austral.355.d:0 "The [From.GetAdjective] government, pursuing a revanchist policy which it calls the Anderson Doctrine, has laid a claim on northern Borneo - no doubt at the prompting of the White Rajah, the man who used to run the kingdom of Sarawak as his own peronal playground and would like to see it restored. Whether that is true, or whether [From.GetNameDef] intends to press their claims or it is so much hot air remains to be seen."
austral.356.t:0 "[From.GetNameDefCap] Claims Malaya"
austral.356.d:0 "The [From.GetAdjective] government, pursuing a revanchist policy which it calls the Anderson Doctrine, has laid a claim on the Malay peninsula, citing that it was taken from the British following the end of the Weltkrieg and thus is properly part of [From.GetNameDef]'s eminent domain. Whether they intend to pursue these claims remains to be seen."
austral.357.t:0 "[From.GetNameDefCap] Claims Western New Guinea"
austral.357.d:0 "The [From.GetAdjective] government, pursuing a revanchist policy which it calls the Anderson Doctrine, has laid a claim on the western part of the island of New Guinea. While they cite that the region is integral to their security needs, truly they have no claim to it and this is merely further evidence of their expansionist, imperialistic policies."
austral.358.t:0 "[From.GetNameDefCap] Claims Timor"
austral.358.d:0 "The [From.GetAdjective] government, pursuing a revanchist policy which it calls the Anderson Doctrine, has laid a claim on the island of Timor. While they cite that the island is integral to their security needs, truly they have no claim to it and this is merely further evidence of their expansionist, imperialistic policies."
austral.360.t:0 "The [From.GetAdjective] Ultimatum"
austral.360.d.puppet:0 "The [From.GetAdjective] government has sent an ultimatum: either we hand over the lands they currently claim under the mandate of the Anderson Doctrine, currently held by our [puppet_owner.GetAdjective] subjects, or they will take them by force."
austral.360.d.owned:0 "The [From.GetAdjective] government has sent an ultimatum: either we hand over the lands they currently claim under the mandate of the Anderson Doctrine, or they will take them by force."
austral.360.a:0 "We have no choice - let them have the land"
austral.360.b:0 "What? No! They will have to fight for it"
austral.361.t:0 "[From.GetNameDefCap] Gives Away our Land"
austral.361.d:0 "Our [From.GetAdjective] overlords have agreed to a demand from [AST.GetNameDef] that the lands they claim under their revanchist Anderson Doctrine mandate be turned over immediately. Apparently they fear [Ast.GetNameDef] will back up their demands with war?"
austral.361.a:0 "It seems we have no choice in the matter..."
austral.362.t:0 "[From.GetNameDefCap] Has Relented"
austral.362.d:0 "It appears luck is with us - [From.GetNameDef] has relented to our demands, and agreed to turn over our claims at once. War will be unnecessary."
austral.362.a:0 "A prudent choice on their part"
austral.363.t:0 "[From.GetNameDefCap] Has Refused"
austral.363.d:0 "It seems that [From.GetNameDef] has refused to give into our demands. We have no choice but to back up our words with force."
austral.363.a:0 "So be it!"
austral.364.t:0 "[From.GetNameDefCap] Seizes New Guinea"
austral.364.d:0 "With [Root.GetAdjective] forces occupied in our current war, and none present in New Guinea, [From.GetAdjective] troops have crossed the border and seized the territory. There appears to be little we can do about it, at the moment."
austral.364.a:0 "Vile opportunists!"
austral.365.t:0 "[From.GetNameDefCap] Seizes New Guinea"
austral.365.d:0 "With [Root.GetAdjective] forces occupied in our current war, and none present in the western part of New Guinea, [From.GetAdjective] troops have crossed the border and seized the territory. There appears to be little we can do about it, at the moment."
austral.366.t:0 "[From.GetNameDefCap] Seizes Timor"
austral.366.d:0 "With [Root.GetAdjective] forces occupied in our current war, and none present on the island of Timor, [From.GetAdjective] troops have landed there and seized the territory. There appears to be little we can do about it, at the moment."
austral.367.t:0 "Returning British Lands"
austral.367.d:0 "Now that the Home Lands have been restored, it is time we consider what to do with the lands taken via the Anderson Doctrine - they are, after all, lands we recovered for the sake of the British, while they were unable to do so on their own. It's possible they might simply let us keep it all. We did all the work, after all. Some in our cabinet are suggesting that [Root.GetNameDef] shouldn't make the offer. Australasian soldiers did shed blood for it, did we not?"
austral.367.a:0 "We should offer it back"
austral.367.b:0 "No - we will protect it better than they did"
austral.368.t:0 "The [From.GetAdjective] Offer"
austral.368.d:0 "The [From.GetAdjective] government has contacted us with an offer - now that we have been restored, the lands they took in our name through the Anderson Doctrine are rightfully ours to take back, so they say. Considering that [From.GetNameDef] expended a great deal of blood and effort to get them, however, perhaps it's worth recognising that they offer more protection for these colonies than we could ever provide?"
austral.368.a:0 "We will gladly accept their offer"
austral.368.b:0 "They fought for it, they can keep it"
austral.369.t:0 "The Lands are Returned"
austral.369.d:0 "With a hearty thanks, the [From.GetAdjective] government has accepted the return of their former colonies. A great ceremony took place in Canberra to commemorate the occasion, and rewards were handed out to many members of the [Root.GetAdjective] for the part they played in restoring the British Empire."
austral.369.a:0 "Well done, us!"
austral.370.t:0 "We are to Keep the Colonies"
austral.370.d:0 "With a heart thanks for the offer, the [From.GetAdjective] government has declined to take the colonies back. [Root.GetNameDefCap], they say, can clearly offer better protection for these lands than they ever could, and they trust we will administer them as they would."
austral.370.a:0 "Oh? That's nice of them to say"
